"Date","Open","High","Low","Close"
"1/22/2009","2714.699951","2744.850098","2681.399902","2713.800049"
"1/23/2009","2705.449951","2765.550049","2661.649902","2678.550049"
"1/27/2009","2686.050049","2777.300049","2685.25","2771.350098"
"1/28/2009","2771.100098","2855.399902","2765.600098","2849.5"
"1/29/2009","2849.350098","2873.850098","2795.350098","2823.949951"
"1/30/2009","2824.050049","2881","2774.100098","2874.800049"
"2/2/2009","2872.350098","2873.449951","2760.699951","2766.649902"
"2/3/2009","2773.5","2831.699951","2752.899902","2783.899902"
"2/4/2009","2780.699951","2842.199951","2780.699951","2803.050049"
"2/5/2009","2802.75","2816.800049","2754.850098","2780.050049"
"2/6/2009","2779.350098","2852.5","2778.649902","2843.100098"
"2/9/2009","2843.050049","2926.75","2840.149902","2919.899902"
"2/10/2009","2919.699951","2957.399902","2891.75","2934.5"
"2/11/2009","2933","2937.5","2877.600098","2925.699951"
"2/12/2009","2927.399902","2939","2886.550049","2893.050049"
"2/13/2009","2896.949951","2969.75","2896.850098","2948.350098"
"2/16/2009","2948.25","2953.199951","2839.100098","2848.5"
"2/17/2009","2853.850098","2854.649902","2757.300049","2770.5"
"2/18/2009","2755.149902","2806.5","2736.649902","2776.149902"
"2/19/2009","2776.699951","2802.149902","2767.600098","2789.350098"
"2/20/2009","2789.300049","2789.300049","2709.300049","2736.449951"
"2/24/2009","2737.25","2746.199951","2677.550049","2733.899902"
"2/25/2009","2733.449951","2789.350098","2733.449951","2762.5"
"2/26/2009","2762.199951","2797.800049","2731.899902","2785.649902"
"2/27/2009","2785.699951","2787.199951","2708.449951","2763.649902"
"3/2/2009","2764.600098","2764.600098","2659.550049","2674.600098"
"3/3/2009","2672.149902","2688.5","2611.550049","2622.399902"
"3/4/2009","2611.949951","2655.699951","2611.949951","2645.199951"
"3/5/2009","2645.899902","2663.899902","2564.100098","2576.699951"
"3/6/2009","2576.75","2628.100098","2539.449951","2620.149902"
"3/9/2009","2620.100098","2621.25","2555.600098","2573.149902"
"3/12/2009","2574.5","2646.100098","2574.5","2617.449951"
"3/13/2009","2616.600098","2726.149902","2616.600098","2719.25"
"3/16/2009","2716.050049","2781.949951","2701.949951","2777.25"
"3/17/2009","2776.350098","2805.600098","2738.699951","2757.449951"
"3/18/2009","2757.649902","2836.050049","2752.25","2794.699951"
"3/19/2009","2797.050049","2822.25","2771.350098","2807.149902"
"3/20/2009","2807.350098","2816.100098","2773.649902","2807.050049"
"3/23/2009","2807.25","2949.75","2807.25","2939.899902"
"3/24/2009","2923.800049","3017.399902","2914.5","2938.699951"
"3/25/2009","2938.800049","2996.5","2923.300049","2984.350098"
"3/26/2009","2982.25","3103.350098","2982.25","3082.25"
"3/27/2009","3079.399902","3123.350098","3055.899902","3108.649902"
